datum,status_sportschool_model,corona_intensity,sportschool_gesloten,max_personen_per_ruimte,groepslessen_verboden
2018-11-25,Open,0,0,,0
2018-11-26,Open,0,0,,0
2018-11-27,Open,0,0,,0
2018-11-28,Open,0,0,,0
2018-11-29,Open,0,0,,0
2018-11-30,Open,0,0,,0
2018-12-01,Open,0,0,,0
2018-12-02,Open,0,0,,0
2018-12-03,Open,0,0,,0
2018-12-04,Open,0,0,,0
2018-12-05,Open,0,0,,0
2018-12-06,Open,0,0,,0
2018-12-07,Open,0,0,,0
2018-12-08,Open,0,0,,0
2018-12-09,Open,0,0,,0
2018-12-10,Open,0,0,,0
2018-12-11,Open,0,0,,0
2018-12-12,Open,0,0,,0
2018-12-13,Open,0,0,,0
2018-12-14,Open,0,0,,0
2018-12-15,Open,0,0,,0
2018-12-16,Open,0,0,,0
2018-12-17,Open,0,0,,0
2018-12-18,Open,0,0,,0
2018-12-19,Open,0,0,,0
2018-12-20,Open,0,0,,0
2018-12-21,Open,0,0,,0
2018-12-22,Open,0,0,,0
2018-12-23,Open,0,0,,0
2018-12-24,Open,0,0,,0
2018-12-25,Open,0,0,,0
2018-12-26,Open,0,0,,0
2018-12-27,Open,0,0,,0
2018-12-28,Open,0,0,,0
2018-12-29,Open,0,0,,0
2018-12-30,Open,0,0,,0
2018-12-31,Open,0,0,,0
2019-01-01,Open,0,0,,0
2019-01-02,Open,0,0,,0
2019-01-03,Open,0,0,,0
2019-01-04,Open,0,0,,0
2019-01-05,Open,0,0,,0
2019-01-06,Open,0,0,,0
2019-01-07,Open,0,0,,0
2019-01-08,Open,0,0,,0
2019-01-09,Open,0,0,,0
2019-01-10,Open,0,0,,0
2019-01-11,Open,0,0,,0
2019-01-12,Open,0,0,,0
2019-01-13,Open,0,0,,0
2019-01-14,Open,0,0,,0
2019-01-15,Open,0,0,,0
2019-01-16,Open,0,0,,0
2019-01-17,Open,0,0,,0
2019-01-18,Open,0,0,,0
2019-01-19,Open,0,0,,0
2019-01-20,Open,0,0,,0
2019-01-21,Open,0,0,,0
2019-01-22,Open,0,0,,0
2019-01-23,Open,0,0,,0
2019-01-24,Open,0,0,,0
2019-01-25,Open,0,0,,0
2019-01-26,Open,0,0,,0
2019-01-27,Open,0,0,,0
2019-01-28,Open,0,0,,0
2019-01-29,Open,0,0,,0
2019-01-30,Open,0,0,,0
2019-01-31,Open,0,0,,0
2019-02-01,Open,0,0,,0
2019-02-02,Open,0,0,,0
